Clase;Grupo;"Cuenta Mayor";Auxiliar;"Sub cuentas del Aux";"Sub cuentas de sub cuenta Aux";Clasificación;"Nombre de la Cuenta"
6;1;2;001;02;05;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE LA ESPERANZA #1"
6;1;2;001;02;06;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE COMAYAGUA #5"
6;1;2;001;02;07;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS - SANTA ROSA"
6;1;2;001;02;08;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS - SANTA BARBARA"
6;1;2;001;02;09;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS - TALANGA"
6;1;2;001;02;10;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE - LA ESPERANZA #2"
6;1;2;001;02;11;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS - SIGUATEPEQUE #2"
6;1;2;001;02;12;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE - AZACUALPA SANTA BARBARA"
6;1;2;001;02;13;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE - LAS VEGAS SANTA BARBARA"
6;1;2;001;02;14;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE - CHOLUTECA 2"
6;1;2;001;02;15;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE - CHOLUTECA 3"
6;1;2;001;02;16;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE  - MONJARAS"
6;1;2;001;02;17;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE - NACAOME"
6;1;2;001;03;00;"Sub cuentas del Aux";"Sueldos a empleados KM CARS"
6;1;2;001;03;01;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS - COMAYAGUA #3"
6;1;2;001;03;02;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS - LA CUESTA "
6;1;2;001;03;03;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS LA LIBERTAD"
6;1;2;001;03;04;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS - VILLANUEVA"
6;1;2;001;03;05;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS - MARCALA #1"
6;1;2;001;03;06;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS GRACIAS LEMPIRA"
6;1;2;001;03;07;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS LA CEIBA"
6;1;2;001;03;08;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS PUERTO CORTES"
6;1;2;001;03;09;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS DANLI"
6;1;2;001;03;10;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS EL PARAISO"
6;1;2;001;03;11;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS CHOLOMA"
6;1;2;001;03;12;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS - MARCALA 2"
6;1;2;001;03;13;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS - LA ENTRADA COPAN"
6;1;2;001;03;14;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS - LA ENTRADA COPAN #2"
6;1;2;001;03;15;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS - SANTA CRUZ DE YOJOA"
6;1;2;001;03;16;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS - MORAZAN YORO"
6;1;2;001;03;17;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS - LA CUESTA #2"
6;1;2;001;03;18;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM CARS- YORO, YORO"
6;1;2;001;03;19;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO KM CARS HN - DANLI 2"
6;1;2;001;04;00;"Sub cuentas del Aux";"Sueldos a empleados GRUPO KM MOTOS HN"
6;1;2;001;04;01;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS - VINI"
6;1;2;001;04;02;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO KM MOTOS - SPS 3"
6;1;2;001;04;03;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO KM MOTOS  - JUTICALPA 2"
6;1;2;001;04;04;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO KM MOTOS HN - SAN MARCOS DE COLON"
6;1;2;001;04;05;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO KM MOTOS HN - TEUPASENTI"
6;1;2;001;04;06;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KMMOTOS - COMAYAGUA #8"
6;1;2;001;05;00;"Sub cuentas del Aux";"Sueldos a empleados GRUPO KM CARS HN"
6;1;2;001;05;01;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE COMAYAGUA #6"
6;1;2;001;05;02;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO TODO EN UNO HN - SANTA ROSA COPAN #2"
6;1;2;001;05;03;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO TODO EN UNO HN - SIGUATEPEQUE #3"
6;1;2;001;06;00;"Sub cuentas del Aux";"Sueldos a empleados GRUPO TODO EN UNO HN"
6;1;2;001;06;01;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE- KM COMAYAGUA #4  "
6;1;2;001;06;02;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO TODO EN UNO - SAN JUAN "
6;1;2;001;06;03;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO TODO EN UNO HN - JESUS DE OTORO"
6;1;2;001;06;04;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados ALL IN ONE - TAULABE"
6;1;2;001;06;05;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO KM CARS HN - TROJES"
6;1;2;001;06;06;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO KM CARS HN - SAN MARCOS DE OCOTEPEQUE"
6;1;2;001;06;07;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO TODO EN UNO HN - QUIMISTAN"
6;1;2;001;06;08;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados GRUPO KM CARS HN - LEPAERA"
6;1;2;001;06;09;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados  GRUPO KM CARS  - LA ENTRADA #3"
6;1;2;002;00;00;Auxiliar;"Provisionamiento 13avo"
6;1;2;003;00;00;Auxiliar;"Provisionamiento 14avo"
6;1;2;004;00;00;Auxiliar;"Comisiones a vendedores"
6;1;2;004;05;00;"Sub cuentas del Aux";"Comisiones a vendedores KM motos"
6;1;2;004;05;01;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGUA"
6;1;2;004;05;02;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGÜELA"
6;1;2;004;05;03;"Sub cuentas de sub cuenta Aux";"KM MOTOS JUTICALPA"
6;1;2;004;05;04;"Sub cuentas de sub cuenta Aux";"KM MOTOS CATACAMAS - OLANCHO"
6;1;2;004;05;05;"Sub cuentas de sub cuenta Aux";"KM MOTOS CATACAMAS 2"
6;1;2;004;05;06;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA PAZ"
6;1;2;004;05;07;"Sub cuentas de sub cuenta Aux";"KM MOTOS GUALACO"
6;1;2;004;05;08;"Sub cuentas de sub cuenta Aux";"KM MOTOS CULMI"
6;1;2;004;05;09;"Sub cuentas de sub cuenta Aux";"KM MOTOS SPS #1"
6;1;2;004;05;10;"Sub cuentas de sub cuenta Aux";"KM MOTOS SPS 2"
6;1;2;004;05;11;"Sub cuentas de sub cuenta Aux";"KM MOTOS JUTIAPA"
6;1;2;004;05;12;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TOROCAGUA"
6;1;2;004;05;13;"Sub cuentas de sub cuenta Aux";"KM MOTOS TELA"
6;1;2;004;05;14;"Sub cuentas de sub cuenta Aux";"KM MOTOS EL PROGRESO"
6;1;2;004;05;15;"Sub cuentas de sub cuenta Aux";"KM MOTOS TOCOA"
6;1;2;004;05;16;"Sub cuentas de sub cuenta Aux";"KM MOTOS PEÑA BLANCA"
6;1;2;004;05;17;"Sub cuentas de sub cuenta Aux";"KM MOTOS SABA"
6;1;2;004;05;18;"Sub cuentas de sub cuenta Aux";"KM MOTOS - COUNTRY TEGUS"
6;1;2;004;05;19;"Sub cuentas de sub cuenta Aux";"KM MOTOS - EL PROGRESO 2"
6;1;2;004;05;20;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SPS 3"
6;1;2;004;05;21;"Sub cuentas de sub cuenta Aux";"KM MOTOS JUTICALPA 2"
6;1;2;004;05;22;"Sub cuentas de sub cuenta Aux";SAC
